=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.07.23 01:51:55 =~=~=~=~=~=~=~=~=~=~=~=
5.0 ; 22.68 ; 62.60
7.2 ; 22.68 ; 62.60
9.3 ; 22.68 ; 62.62
11.5 ; 22.68 ; 62.62
13.6 ; 22.68 ; 62.61
15.7 ; 22.68 ; 62.64
17.9 ; 22.68 ; 62.62
20.0 ; 22.68 ; 62.62
22.2 ; 22.68 ; 62.64
24.3 ; 22.68 ; 62.60
26.5 ; 22.68 ; 62.63
28.6 ; 22.68 ; 62.63
30.8 ; 22.68 ; 62.65
32.9 ; 22.68 ; 62.63
35.0 ; 22.68 ; 62.65
37.2 ; 22.68 ; 62.67
39.3 ; 22.68 ; 62.68
41.5 ; 22.68 ; 62.65
43.6 ; 22.68 ; 62.65
45.8 ; 22.68 ; 62.68
47.9 ; 22.68 ; 62.70
50.1 ; 22.68 ; 62.68
52.2 ; 22.68 ; 62.69
54.3 ; 22.68 ; 62.70
56.5 ; 22.68 ; 62.68
58.6 ; 22.68 ; 62.69
60.8 ; 22.68 ; 62.69
62.9 ; 22.68 ; 62.70
65.1 ; 22.68 ; 62.68
67.2 ; 22.68 ; 62.69
69.4 ; 22.68 ; 62.70
71.5 ; 22.68 ; 62.70
73.6 ; 22.68 ; 62.70
75.8 ; 22.68 ; 62.69
77.9 ; 22.68 ; 62.70
80.1 ; 22.68 ; 62.69
82.2 ; 22.68 ; 62.69
84.4 ; 22.68 ; 62.68
86.5 ; 22.68 ; 62.70
88.7 ; 22.68 ; 62.70
90.8 ; 22.68 ; 62.71
92.9 ; 22.68 ; 62.71
95.1 ; 22.68 ; 62.71
97.2 ; 22.68 ; 62.70
99.4 ; 22.68 ; 62.69
101.5 ; 22.68 ; 62.71
103.7 ; 22.68 ; 62.70
105.8 ; 22.68 ; 62.71
108.0 ; 22.68 ; 62.71
110.1 ; 22.68 ; 62.71
112.2 ; 22.68 ; 62.71
114.4 ; 22.68 ; 62.71
116.5 ; 22.68 ; 62.71
118.7 ; 22.68 ; 62.70
120.8 ; 22.68 ; 62.71
123.0 ; 22.68 ; 62.71
125.1 ; 22.68 ; 62.70
127.3 ; 22.68 ; 62.70
129.4 ; 22.68 ; 62.71
131.5 ; 22.68 ; 62.71
133.7 ; 22.68 ; 62.71
135.8 ; 22.68 ; 62.71
138.0 ; 22.68 ; 62.71
140.1 ; 22.68 ; 62.71
142.3 ; 22.68 ; 62.71
144.4 ; 22.68 ; 62.71
146.6 ; 22.68 ; 62.70
148.7 ; 22.68 ; 62.70
150.8 ; 22.68 ; 62.70
153.0 ; 22.68 ; 62.70
155.1 ; 22.68 ; 62.71
157.3 ; 22.68 ; 62.71
159.4 ; 22.68 ; 62.71
161.6 ; 22.68 ; 62.70
163.7 ; 22.68 ; 62.70
165.9 ; 22.68 ; 62.71
168.0 ; 22.68 ; 62.71
170.1 ; 22.68 ; 62.70
172.3 ; 22.68 ; 62.71
174.4 ; 22.68 ; 62.70
176.6 ; 22.68 ; 62.70
178.7 ; 22.68 ; 62.70
180.9 ; 22.68 ; 62.70
183.0 ; 22.68 ; 62.70
